,roi,subj,cpe,dist,dist_within
0,IFS,pc07,1,0.578059548286,0.623572523449
1,IFS,pc07,2,0.654752865442,0.700265840605
2,IFS,pc07,3,0.96938755279,1.01490052795
3,IFS,pc07,4,1.28977024688,1.33528322205
4,IFS,pc08,1,0.521250857342,0.492478474988
5,IFS,pc08,2,0.962816252373,0.934043870019
6,IFS,pc08,3,1.03884622717,1.01007384481
7,IFS,pc08,4,1.26619830659,1.23742592423
8,IFS,pc10,1,0.465374979462,0.706470217503
9,IFS,pc10,2,0.644828129282,0.885923367323
10,IFS,pc10,3,0.564437671414,0.805532909455
11,IFS,pc10,4,1.03500038173,1.27609561977
12,IFS,pc11,1,0.822819363973,0.865530920888
13,IFS,pc11,2,0.436738159909,0.479449716824
14,IFS,pc11,3,0.964277915798,1.00698947271
15,IFS,pc11,4,1.27934044672,1.32205200363
16,IFS,pc12,1,0.748347002679,0.759800923664
17,IFS,pc12,2,0.736789341218,0.748243262204
18,IFS,pc12,3,1.00760859772,1.01906251871
19,IFS,pc12,4,1.13546148849,1.14691540948
20,IFS,pc13,1,1.00885936419,0.741173574709
21,IFS,pc13,2,0.997958194577,0.730272405096
22,IFS,pc13,3,1.19858606768,0.930900278197
23,IFS,pc13,4,1.53936164553,1.27167585605
24,IFS,pc14,1,0.512600418948,0.584543126385
25,IFS,pc14,2,0.353248770607,0.425191478045
26,IFS,pc14,3,1.21510568294,1.28704839038
27,IFS,pc14,4,1.30529641181,1.37723911925
28,IFS,pc15,1,1.23561423642,0.934578667659
29,IFS,pc15,2,0.804358533872,0.503322965112
30,IFS,pc15,3,1.27225105782,0.971215489064
31,IFS,pc15,4,1.56594056098,1.26490499222
32,IFS,pc16,1,0.710749475349,0.643828014495
33,IFS,pc16,2,0.691060605621,0.624139144767
34,IFS,pc16,3,1.210364655,1.14344319414
35,IFS,pc16,4,1.3295332215,1.26261176065
36,IFS,pc17,1,0.622176475732,0.755105968051
37,IFS,pc17,2,0.707720988466,0.840650480784
38,IFS,pc17,3,0.868322227105,1.00125171942
39,IFS,pc17,4,0.944084453478,1.0770139458
40,IFS,pc18,1,0.620171009527,0.830118481425
41,IFS,pc18,2,0.383001401128,0.592948873027
42,IFS,pc18,3,0.796741342998,1.0066888149
43,IFS,pc18,4,1.03431847281,1.2442659447
44,IFS,pc19,1,0.148679777791,0.315673115754
45,IFS,pc19,2,0.982223337661,1.14921667562
46,IFS,pc19,3,0.684652233976,0.851645571938
47,IFS,pc19,4,1.19049341278,1.35748675074
48,IFS,pc22,1,0.595090924471,0.760194926512
49,IFS,pc22,2,0.526067819465,0.691171821506
50,IFS,pc22,3,0.610079222458,0.775183224499
51,IFS,pc22,4,1.2823681395,1.44747214154
52,IFS,pc23,1,0.561817140885,0.563731519104
53,IFS,pc23,2,0.986174451489,0.988088829708
54,IFS,pc23,3,0.802721217386,0.804635595605
55,IFS,pc23,4,1.31565179142,1.31756616964
56,IFS,pc24,1,1.22303563848,0.797845758949
57,IFS,pc24,2,1.13850417497,0.713314295435
58,IFS,pc24,3,1.3858360499,0.960646170365
59,IFS,pc24,4,1.62740576884,1.2022158893
60,IPS,pc07,1,0.915830902027,0.664485319645
61,IPS,pc07,2,1.06365908116,0.812313498779
62,IPS,pc07,3,1.34346822296,1.09212264058
63,IPS,pc07,4,1.46444599058,1.2131004082
64,IPS,pc08,1,0.622051891658,0.517373290807
65,IPS,pc08,2,1.17600842872,1.07132982787
66,IPS,pc08,3,1.2453204789,1.14064187805
67,IPS,pc08,4,1.15735547133,1.05267687048
68,IPS,pc10,1,0.508408582761,0.801489613663
69,IPS,pc10,2,0.559631373418,0.85271240432
70,IPS,pc10,3,0.49823953246,0.791320563362
71,IPS,pc10,4,1.04341825496,1.33649928586
72,IPS,pc11,1,0.67675317793,0.587459916914
73,IPS,pc11,2,0.662656396356,0.57336313534
74,IPS,pc11,3,1.32592688788,1.23663362687
75,IPS,pc11,4,1.4738584491,1.38456518808
76,IPS,pc12,1,0.771846931659,0.783876713035
77,IPS,pc12,2,0.722477112231,0.734506893607
78,IPS,pc12,3,1.0119169424,1.02394672377
79,IPS,pc12,4,1.22766175541,1.23969153679
80,IPS,pc13,1,1.08230493474,0.858465938185
81,IPS,pc13,2,0.886893903167,0.663054906616
82,IPS,pc13,3,1.22778223704,1.00394324049
83,IPS,pc13,4,1.48039677846,1.25655778191
84,IPS,pc14,1,0.475554378591,0.728357557469
85,IPS,pc14,2,0.0744085483568,0.327211727236
86,IPS,pc14,3,1.05983233453,1.31263551341
87,IPS,pc14,4,1.16101389021,1.41381706909
88,IPS,pc15,1,1.01971461787,0.931048679845
89,IPS,pc15,2,0.678628779868,0.589962841839
90,IPS,pc15,3,1.109964648,1.02129870997
91,IPS,pc15,4,1.32837757358,1.23971163555
92,IPS,pc16,1,0.684062878259,0.754950403659
93,IPS,pc16,2,0.468834801471,0.539722326871
94,IPS,pc16,3,1.12756526156,1.19845278695
95,IPS,pc16,4,1.21800882432,1.28889634972
96,IPS,pc17,1,0.823450497512,0.882146661228
97,IPS,pc17,2,0.748106048568,0.806802212283
98,IPS,pc17,3,0.940543033914,0.999239197629
99,IPS,pc17,4,1.03513763235,1.09383379606
100,IPS,pc18,1,0.773539539194,0.851499078106
101,IPS,pc18,2,0.602665969608,0.680625508521
102,IPS,pc18,3,1.00544384553,1.08340338444
103,IPS,pc18,4,1.08853435722,1.16649389613
104,IPS,pc19,1,0.34037792828,0.407587754403
105,IPS,pc19,2,1.3549764622,1.42218628832
106,IPS,pc19,3,0.558911660979,0.626121487101
107,IPS,pc19,4,1.25891651126,1.32612633738
108,IPS,pc22,1,0.750312736897,0.9816082824
109,IPS,pc22,2,0.71027424235,0.941569787853
110,IPS,pc22,3,0.531124029932,0.762419575435
111,IPS,pc22,4,0.865128676013,1.09642422152
112,IPS,pc23,1,0.63678509206,0.683557171949
113,IPS,pc23,2,0.928667902087,0.975439981976
114,IPS,pc23,3,0.763358229039,0.810130308928
115,IPS,pc23,4,1.26612232446,1.31289440435
116,IPS,pc24,1,0.95762293554,0.60471064367
117,IPS,pc24,2,1.21248875269,0.859576460821
118,IPS,pc24,3,1.40792073314,1.05500844127
119,IPS,pc24,4,1.61563861331,1.26272632144
